rank,family_office,principal,aum_networth,aum_confidence,aum_source,hq,category,atlas_member,companies_backed,mapped_raise_usd_m,activity_90d,confidence,source_url,note
90,Eni Next,Italian State + public,$45B+ mkt cap,Estimate,public market cap / financials — verify against exchange filing,Rome,Corporate Strategic,Y,Swift Solar ($60M),60,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Swift Solar at SF 2026
91,Samsung / Lee Family,Lee family,$300B+ conglomerate,Estimate,public market cap / financials — verify against exchange filing,Seoul,Corporate Strategic,Y,Princeton NuEnergy ($55M),55,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),"Path via Chao Yan (PNE CEO, SF 2026)"
92,SCG / Thai Crown Property,Thai Crown Property,$15B+ revenue,Estimate,public market cap / financials — verify against exchange filing,Bangkok,Corporate Strategic,Y,Princeton NuEnergy ($55M),55,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),DIRECT. Tim McCaffery speaker both years
93,Honda Motor,Honda heritage,$45B+ mkt cap,Estimate,public market cap / financials — verify against exchange filing,Tokyo,Corporate Strategic,Y,Princeton NuEnergy ($55M),55,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Chao Yan (PNE)
94,Holcim / MAQER Ventures,Holcim Group,$47B mkt cap,Estimate,public market cap / financials — verify against exchange filing,"Zug, Switzerland",Corporate Strategic,Y,Electrified Thermal ($49M),49,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Supratim Das (Electrified Thermal)
95,Vale Ventures,Vale S.A.,$50B+ mkt cap,Estimate,public market cap / financials — verify against exchange filing,Rio de Janeiro,Corporate Strategic,Y,Electrified Thermal ($49M),49,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Electrified Thermal at SF 2026
96,ArcelorMittal,Lakshmi Mittal family,$20B+ fortune,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Luxembourg,Corporate Strategic,Y,Electrified Thermal ($49M),49,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Electrified Thermal at SF 2026
97,Evolv Ventures (Kraft Heinz),Berkshire + 3G Capital,$40B+ mkt cap,Estimate,public market cap / financials — verify against exchange filing,Chicago,Corporate Strategic,Y,New Culture ($40M),40,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Matt Gibson (New Culture)
98,Koch Disruptive Technologies,Koch family,$120B+ conglomerate,Estimate,public market cap / financials — verify against exchange filing,Wichita,Corporate Strategic,N,MetOx (HTS wire); Silo (storage) ($35M),35,2,Confirmed,https://www.kochdisruptivetechnologies.com/portfolio,Energy + advanced materials
99,Safran,French State + public,$80B+ mkt cap,Estimate,public market cap / financials — verify against exchange filing,Paris,Corporate Strategic,Y,H55 ($25M),25,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),H55 CEO at SF 2026
100,LG / Koo Family,Koo family,$15B+ conglomerate,Estimate,public market cap / financials — verify against exchange filing,Seoul,Corporate Strategic,Y,South 8 Technologies ($20M),20,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),South 8 CEO at SF 2026
